Site SKU,Master code,Name,Site price (incl),Master retail (incl),Delta (master - site)
MMR-32007,MMR-32007,Mastodon SBC/BBC Polished Water neck 90 Deg Swivel,414.02,409.99,-4.03
MMR-25008,MMR-25008,Mastodon Chrome Distributor Hold Down Clamps Kit SBC/BBC,174.01,169.99,-4.02
R40058-STD,R40058-STD,Enginetech Piston Ring Set 4 inch Bore (Standard),1215.98,1219.99,+4.01
R40058-030,R40058-030,Enginetech 4 inch Bore Rings For AMC Chrysler (4.03,1215.98,1219.99,+4.01
R40058-060,R40058-060,Enginetech 4 inch Bore Rings For AMC Chrysler (4.06,1215.98,1219.99,+4.01
R40058-040,R40058-040,Enginetech 4 inch Bore Piston Rings For AMC Chrysler,1215.98,1219.99,+4.01
R40058-020,R40058-020,Enginetech 4 inch Bore Rings For AMC Chrysler (4.02,1215.98,1219.99,+4.01
TSC-7007B-1,TSC-7007B-1,32″ Tilt Steering Column Manual No Key Without Ada,7295.99,7299.99,+4.00
EDL-1720,EDL-1720,Edelbrock Performer RPM Street Fuel Pump SBC,3546.01,3549.99,+3.98
MMR-6280-B,MMR-6280-B,Mastodon BBC Chevy Valve Covers,5313.97,5309.99,-3.98
MMR-21079,MMR-21079,Mastodon e Cooling Fan Thermostat Switch,193.97,189.99,-3.98
MMR-3099,MMR-3099,Mastodon H.E.I Distributor For SB/BB Chevy,1693.96,1689.99,-3.97
MMR-58012,MMR-58012,Mastodon SBC/BBC 3 inch Reusable Copper Header Exha,316.03,319.99,+3.96
BC307J30,BC307J30,Enginetech Main Bearings 351 Windsor,1223.95,1219.99,-3.96
C350-1,C350-1,Gasket GM Chevy,1556.04,1559.99,+3.95
MMR-16695,MMR-16695,"TF8,FMX,C6 Extension Housing Seal",226.04,229.99,+3.95
MOG-349,MOG-349,Moog Chassis Parts 348 – Moog Premium Universal U-,1686.04,1689.99,+3.95
MOG-370,MOG-370,Moog Chassis Parts 369 – Moog Premium Universal U-,873.94,869.99,-3.95
MMR-6772,MMR-6772,Mastodon Hood Hinge 67-72 Chevy Truck,24646.06,24649.99,+3.93
MMR-HEI-002,MMR-HEI-002,Mastodon H.E.I. Distributor Coil Cap,66.10,69.99,+3.89
MMR-59022-CR,MMR-59022-CR,Mastodon Brake Master Cylinder Tandem CR,2126.11,2129.99,+3.88
MMR-25088,MMR-25088,Mastodon Steering Column Drop 2.5″ Column,736.13,739.99,+3.86
BC296J010,BC296J010,Enginetech SBC Main Bearing Large Journal (0.10mm),1293.83,1289.99,-3.84
BC296J020,BC296J020,Enginetech Main Bearing Chevy Small Block Large Jou,1293.83,1289.99,-3.84
MMR-9153,MMR-9153,Mastodon Radiator Only,5076.18,5079.99,+3.81
MMR-1004,MMR-1004,"Mastodon Throttle Body, Spacer/ Adapter, 92Mm Blac",696.21,699.99,+3.78
MMR-8593-P,MMR-8593-P,Mastodon 2-3/8 Inch Finned Transmission Oil Pan TH400,2586.22,2589.99,+3.77
MMR-3521,MMR-3521,Mastodon Retro Finned Push In Breather,843.76,839.99,-3.77
RB-52670-1022Bk,RB-52670-1022Bk,1967-1970 Mustang Billet Black Hood Hinges,57183.75,57179.99,-3.76
ARP 154-6002,ARP 154-6002,ARP High Performance Series Connecting Rod Bolt Ki,3396.24,3399.99,+3.75
MMR-25091,MMR-25091,Mastodon Steering Column Floor Mount,1083.74,1079.99,-3.75
MMR-45025,MMR-45025,"Mastodon Steering Shaft U-Joint, Steering Shaft",1083.74,1079.99,-3.75
L900,L900,Lifters (Ford),1276.27,1279.99,+3.72
MMR-1023-BK,MMR-1023-BK,Mastodon Aluminum Billet Drive-By-Wire Throttle Body,7496.30,7499.99,+3.69
MMR-15010,MMR-15010,Transmission Cooler Dual Pass Finned Mastodon,1006.32,1009.99,+3.67
MMR-15011,MMR-15011,"Mastodon Transmission Cooler, DUal Pass Finned",1006.32,1009.99,+3.67
MMR-25077,MMR-25077,Mastodon Alternator Bracket SWP Small Block Chevy,446.32,449.99,+3.67
MMR-58006-C,MMR-58006-C,Mastodon SBF Ford Windsor Cork Valve Cover Gaskets,226.32,229.99,+3.67
216 SWOT-BBB,216 SWOT-BBB,Prosport Electrical Gauge Set 52mm Black Rim & Bla,1213.66,1209.99,-3.67
ALT-2654,ALT-2654,12v 100a SBC Alternator Late Model 4 Pin,3466.33,3469.99,+3.66
BRG-114925,BRG-114925,Borgeson Universal Steering U-Joints,9536.34,9539.99,+3.65
EDL-77780,EDL-77780,Edelbrock Red Roller Rockers SBF,9966.35,9969.99,+3.64
MMR-200350,MMR-200350,Mastodon Steering Column Floor Mount 2 Diameter,2313.63,2309.99,-3.64
MMR-58042,MMR-58042,Mastodon LS Exhaust Manifold Gasket Kit LS,876.35,879.99,+3.64
ALT-4456,ALT-4456,12v 124a SBC Alternator Late Model 4 Pin,3466.35,3469.99,+3.64
SO144,SO144,Enginetech Ford Rear Main Seal,336.38,339.99,+3.61
MMR-2931,MMR-2931,Mastodon Aluminium Radiator -3 Row Ford 30″,5253.59,5249.99,-3.60
ARP 234-2503,ARP 234-2503,ARP Balancer Bolts,843.58,839.99,-3.59
MMR-7000-C,MMR-7000-C,"Mastodon 7″Dual Brake Booster,Chrome",3096.40,3099.99,+3.59
BB214 STD,BB214 STD,Enginetech Ford 289302 Windsor Rod Bearing (Standa,986.41,989.99,+3.58
MM6GSETEVOBR,MM6GSETEVOBR,"6 Gauge Set, Blue and Red LCD Display",13413.54,13409.99,-3.55
MMR-81002,MMR-81002,GM Saginaw Power Steering Pump Mastodon,3986.45,3989.99,+3.54
MMR-38021-BL,MMR-38021-BL,"Mastodon Spark Plug Wire Set 8.5mm 180 Deg, Blue",946.45,949.99,+3.54
MMR-38020-BL,MMR-38020-BL,Mastodon Spark Plug Wire Set,946.45,949.99,+3.54
